TimeStamp,Total Power Remaining(Wh),Payload 1 Current(A),Payload 2 Current(A),Umbilical Current(A),Internal Payload (A),Payload 3 Current (A),Power Extension Port (A),Light Bar (A),Battery Current(A),Battery 0 Power Remaining(Wh),Battery 1 Power Remaining(Wh),Battery 2 Power Remaining(Wh),Battery 3 Power Remaining(Wh),Battery 4 Power Remaining(Wh),Battery 5 Power Remaining(Wh),Battery 6 Power Remaining(Wh),Battery 0 Voltage(V),Battery 1 Voltage(V),Battery 2 Voltage(V),Battery 3 Voltage(V),Battery 4 Voltage(V),Battery 5 Voltage(V),Battery 6 Voltage(V),
29.11.2019 08:56:53,430.991, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 08:56:53,430.991, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 07:56:53,419.256, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 07:56:53,419.256, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 06:56:53,436.721, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 06:56:53,436.721, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 05:56:53,464.17, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 05:56:53,464.17, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 04:56:53,492.193, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 04:56:53,492.193, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 03:56:53,520.07, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 03:56:53,520.07, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 02:56:53,547.66, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 02:56:53,547.66, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 01:56:53,574.862, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 01:56:53,574.862, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 00:56:53,601.705, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 00:56:53,601.705, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 23:56:53,628.301, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 23:56:53,628.301, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 22:56:53,654.466, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 22:56:53,654.466, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 21:56:53,680.341, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 21:56:53,680.341, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 20:56:53,706.232, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 20:56:53,706.232, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 19:56:53,732.14, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 19:56:53,732.14, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 18:56:53,757.194, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 18:56:53,757.194, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 17:56:53,781.287, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 17:56:53,781.287, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 16:56:53,804.743, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 16:56:53,804.743, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 15:56:53,816.609, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 15:56:53,816.609, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 14:56:53,801.085, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 14:56:53,801.085, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 13:56:53,756.952, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 13:56:53,756.952, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 12:56:53,693.16, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 12:56:53,693.16, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 11:56:53,616.969, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 11:56:53,616.969, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 10:56:53,539.238, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 10:56:53,539.238, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 09:56:53,472.924, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 09:56:53,472.924, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 08:56:53,430.532, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 08:56:53,430.532, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 07:56:53,416.892, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 07:56:53,416.892, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 06:56:53,433.424, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 06:56:53,433.424, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 05:56:53,460.73, , , , , , , , , , , , , , , , , , , , , , , 
28.11.2019 05:56:53,460.73, , , , , , , , , , , , , , , , , , , , , , , 
